EDGES=66626.0, ITERATIONS=20,DATE=2018-04-17,,
Messages,Largest component size,LCS uncertainty,Average Clustering Coefficient,ACC uncertainty
0,2,0,0,0
50,3.05,0.4,0,0
100,4.1,0.565685425,0,0
150,4.15,0.632455532,0,0
200,4.4,1.095445115,0,0
250,6.25,1.058300524,0,0
300,6.9,2.529822128,0,0
350,7.45,3.261901286,0,0
400,8.25,2.481934729,0,0
450,11.6,2.227105745,0,0
500,11.65,2.561249695,0,0
550,11.85,2.912043956,0,0
600,12.1,3.532704347,0,0
650,12.15,3.509985755,0,0
700,12.5,3.509985755,0,0
750,12.75,3.939543121,0,0
800,12.9,3.908964057,0,0
850,13.05,3.979949748,0,0
900,13.9,5.336665626,0,0
950,14.5,7.802563681,0,0
1000,15.15,7.14422844,0,0
1050,15.95,8.304215797,0,0
1100,17.4,8.069696401,0,0
1150,17.9,7.626270386,0,0
1200,20.75,8.657944329,0,0
1250,22.45,12.84678948,0,0
1300,25.45,16.57950542,0,0
1350,46.25,25.52175543,0,0
1400,47.65,26.33476789,0,0
1450,48.3,27.66514052,0,0
1500,49.65,27.99142726,0,0
1550,50.1,28.1552837,0,0
1600,50.45,28.48859421,0,0
1650,51.85,32.48384214,0,0
1700,52.85,33.79585773,0,0
1750,54.1,34.93422391,0,0
1800,55,35.10555512,0,0
1850,56.75,37.06750599,0,0
1900,60.45,41.86072145,9.26E-07,7.41E-06
1950,63.4,49.68460526,9.26E-07,7.41E-06
2000,66.45,55.27458729,9.26E-07,7.41E-06
2050,70.95,57.1636248,9.26E-07,7.41E-06
2100,74.25,60.39271479,9.26E-07,7.41E-06
2150,77.2,62.16429844,9.26E-07,7.41E-06
2200,79.85,61.85660838,9.26E-07,7.41E-06
2250,82,68.13809507,9.26E-07,7.41E-06
2300,83.15,66.42529639,9.26E-07,7.41E-06
2350,84.2,67.63726783,9.26E-07,7.41E-06
2400,85.9,68.03940035,9.26E-07,7.41E-06
2450,90.55,73.76774363,9.26E-07,7.41E-06
2500,94.3,73.13877221,9.26E-07,7.41E-06
2550,97.65,80.14536793,9.26E-07,7.41E-06
2600,99.6,79.79924812,9.26E-07,7.41E-06
2650,101.2,78.7161991,9.26E-07,7.41E-06
2700,102.4,80.26854926,9.26E-07,7.41E-06
2750,103.35,80.75246126,9.26E-07,7.41E-06
2800,110.1,91.27409271,9.26E-07,7.41E-06
2850,118.7,99.26852472,9.26E-07,7.41E-06
2900,126.1,100.0915581,9.26E-07,7.41E-06
2950,131.9,122.7817576,7.84E-07,6.27E-06
3000,136.95,128.0727918,7.84E-07,6.27E-06
3050,143.65,130.8962948,7.84E-07,6.27E-06
3100,146.1,131.2536476,7.84E-07,6.27E-06
3150,153,127.4613667,7.84E-07,6.27E-06
3200,160,142.5123153,7.84E-07,6.27E-06
3250,174.75,159.7760933,7.84E-07,6.27E-06
3300,188.25,165.2484191,7.84E-07,6.27E-06
3350,191.55,168.5172988,7.84E-07,6.27E-06
3400,199.7,164.633168,6.72E-07,5.37E-06
3450,208.5,166.9581984,6.72E-07,5.37E-06
3500,221.7,184.4743885,3.66E-06,2.32E-05
3550,230.95,192.7836093,3.66E-06,2.32E-05
3600,259.3,216.2947988,3.66E-06,2.32E-05
3650,268,224.5692766,3.66E-06,2.32E-05
3700,296.7,239.5417291,3.66E-06,2.32E-05
3750,332.65,278.2124368,3.66E-06,2.32E-05
3800,344.85,281.2106684,3.66E-06,2.32E-05
3850,362.8,312.4784793,3.66E-06,2.32E-05
3900,406.6,328.4349555,3.66E-06,2.32E-05
3950,428.7,340.5853784,3.66E-06,2.32E-05
4000,450.25,352.6996456,3.66E-06,2.32E-05
4050,462.1,352.7362754,3.66E-06,2.32E-05
4100,508.15,363.278736,3.66E-06,2.32E-05
4150,524.2,381.3505474,3.66E-06,2.32E-05
4200,581,371.4331165,3.66E-06,2.32E-05
4250,674.6,458.132208,3.64E-06,2.32E-05
4300,727.05,435.7191756,3.64E-06,2.32E-05
4350,744.55,446.1380056,3.64E-06,2.32E-05
4400,852.7,548.7997085,3.64E-06,2.32E-05
4450,886.6,583.7620063,3.64E-06,2.32E-05
4500,982.25,540.4572138,3.64E-06,2.32E-05
