EDGES=66626.0, ITERATIONS=20,DATE=2018-03-13 03:08
Number of edges,Largest component size,LCS uncertainty,Average Clustering Coefficient,ACC uncertainty
0,2.0,0.0,0.0,0.0
100,4.05,0.21794494717703236,0.0,0.0
200,4.6,0.9695359714832683,0.0,0.0
300,6.65,0.909670269933009,0.0,0.0
400,8.2,1.3638181696985854,0.0,0.0
500,11.95,1.8834808201837399,0.0,0.0
600,12.0,1.8973665961010262,0.0,0.0
700,12.95,2.5194245374688293,0.0,0.0
800,13.45,2.836811590500859,0.0,0.0
900,14.6,3.5972211497209896,0.0,0.0
1000,15.5,3.667424164178448,0.0,0.0
1100,19.0,4.230839160261233,0.0,0.0
1200,20.9,4.414748010928831,0.0,0.0
1300,22.9,4.170131892398607,0.0,0.0
1400,43.4,12.811713390487633,0.0,0.0
1500,44.3,13.542894816101922,0.0,0.0
1600,45.4,14.004999107461604,0.0,0.0
1700,46.5,14.392706486272834,0.0,0.0
1800,51.7,17.45307995741725,0.0,0.0
1900,54.1,17.323105957073636,0.0,0.0
2000,59.65,18.166659021405124,0.0,0.0
2100,64.7,19.344508264621254,0.0,0.0
2200,68.8,21.08221999695478,0.0,0.0
2300,71.65,23.44840079834869,0.0,0.0
2400,76.55,25.283344319927306,0.0,0.0
2500,80.15,28.90376273082795,0.0,0.0
2600,82.35,30.333603478650545,7.208195898941994e-07,3.1419797488732473e-06
2700,85.15,32.29903249324968,7.208195898941994e-07,3.1419797488732473e-06
2800,93.95,45.04605976109341,7.208195898941994e-07,3.1419797488732473e-06
2900,106.95,50.33535040108493,7.208195898941994e-07,3.1419797488732473e-06
3000,111.4,53.96424742364151,5.78345092829174e-07,2.5209478141350195e-06
3100,123.65,62.039725176696244,5.78345092829174e-07,2.5209478141350195e-06
3200,144.65,70.81897697651385,5.78345092829174e-07,2.5209478141350195e-06
3300,165.95,73.74311832300015,5.78345092829174e-07,2.5209478141350195e-06
3400,174.05,76.18167430557035,5.78345092829174e-07,2.5209478141350195e-06
3500,233.8,100.98940538492144,5.78345092829174e-07,2.5209478141350195e-06
3600,294.6,117.41141341453985,5.78345092829174e-07,2.5209478141350195e-06
3700,332.35,149.24117226824504,5.78345092829174e-07,2.5209478141350195e-06
3800,377.7,156.60271389730138,5.78345092829174e-07,2.5209478141350195e-06
3900,417.05,177.32441315284248,5.78345092829174e-07,2.5209478141350195e-06
4000,449.15,189.97980813760185,5.78345092829174e-07,2.5209478141350195e-06
4100,476.5,192.98043942327422,5.78345092829174e-07,2.5209478141350195e-06
4200,565.45,234.04197807231057,5.071078442966615e-07,2.210431846765906e-06
4300,665.6,258.443301325455,5.071078442966615e-07,2.210431846765906e-06
4400,773.05,272.8672708479346,5.071078442966615e-07,2.210431846765906e-06
4500,876.45,253.9491041527809,5.071078442966615e-07,2.210431846765906e-06
4600,1028.65,306.52541085528236,2.008178438374607e-06,6.795192803938811e-06
4700,1194.4,264.30917502046697,2.008178438374607e-06,6.795192803938811e-06
4800,1335.0,293.4980408793219,2.008178438374607e-06,6.795192803938811e-06
4900,1474.7,274.4782505044791,2.008178438374607e-06,6.795192803938811e-06
5000,1677.05,157.98749159348134,2.008178438374607e-06,6.795192803938811e-06
5100,1791.65,145.7039035166867,2.008178438374607e-06,6.795192803938811e-06
5200,1862.15,147.9514362890725,1.991217188724009e-06,6.725312806599082e-06
5300,1953.5,144.52525730819445,1.991217188724009e-06,6.725312806599082e-06
5400,2127.75,121.31070645247941,1.991217188724009e-06,6.725312806599082e-06
5500,2218.85,114.93749388254648,1.991217188724009e-06,6.725312806599082e-06
5600,2345.35,111.89873770512604,1.991217188724009e-06,6.725312806599082e-06
5700,2443.9,120.9255556117039,1.991217188724009e-06,6.725312806599082e-06
5800,2522.25,108.54486399641308,1.991217188724009e-06,6.725312806599082e-06
5900,2636.95,104.63482928738742,1.991217188724009e-06,6.725312806599082e-06
6000,2775.4,99.28464130971858,1.991217188724009e-06,6.725312806599082e-06
6100,2901.25,95.7762366143104,1.950510189562573e-06,6.678152131510711e-06
6200,3038.15,96.41279738706041,1.938637314807154e-06,6.628867533835296e-06
6300,3156.2,108.85384696922819,1.913195440331257e-06,6.601377427161368e-06
6400,3264.5,103.2872208939712,1.913195440331257e-06,6.601377427161368e-06
6500,3381.8,97.26849438537788,1.913195440331257e-06,6.601377427161368e-06
6600,3484.25,83.007755661743,4.20053057255998e-06,1.1585857058512529e-05
6700,3580.6,92.72022433105394,4.20053057255998e-06,1.1585857058512529e-05
6800,3685.55,88.36655192999876,4.20053057255998e-06,1.1585857058512529e-05
6900,3803.45,87.48341271350822,4.20053057255998e-06,1.1585857058512529e-05
7000,3913.65,88.20333043598032,6.567073873073893e-06,1.4858015529707583e-05
7100,4033.25,92.9257095749072,6.567073873073893e-06,1.4858015529707583e-05
7200,4135.45,89.63229049846734,6.567073873073893e-06,1.4858015529707583e-05
7300,4215.75,88.1446963804445,6.567073873073893e-06,1.4858015529707583e-05
7400,4305.85,81.15372757917307,6.567073873073893e-06,1.4858015529707583e-05
7500,4424.5,70.26272126811976,6.567073873073893e-06,1.4858015529707583e-05
