EDGES=66626, DATE=2018-03-12 18:28,, STEPSIZE=100,
Number of edges,Largest component size,,Average Clustering Coefficient,
100,4,0,0,0
200,5,0,0,0
300,5,0,0,0
400,6,0,0,0
500,7,0,0,0
600,7,0,0,0
700,9,0,0,0
800,20,0,0,0
900,20,0,0,0
1000,21,0,0,0
1100,23,0,0,0
1200,29,0,0,0
1300,29,0,0,0
1400,35,0,5.90E-05,0
1500,39,0,0.000157909,0
1600,39,0,0.000316429,0
1700,39,0,0.000409037,0
1800,40,0,0.000537265,0
1900,40,0,0.00050877,0
2000,40,0,0.00050877,0
2100,40,0,0.00050877,0
2200,40,0,0.00050877,0
2300,41,0,0.000501646,0
2400,41,0,0.000501646,0
2500,42,0,0.000497372,0
2600,42,0,0.000597104,0
2700,42,0,0.000696836,0
2800,42,0,0.000756675,0
2900,83,0,0.000873504,0
3000,84,0,0.000872996,0
3100,85,0,0.000865872,0
3200,88,0,0.000865872,0
3300,89,0,0.000865872,0
3400,92,0,0.000830253,0
3500,94,0,0.000827404,0
3600,94,0,0.000827404,0
3700,95,0,0.000962754,0
3800,96,0,0.001009771,0
3900,98,0,0.001139423,0
4000,98,0,0.001260526,0
4100,99,0,0.001326064,0
4200,99,0,0.001354559,0
4300,99,0,0.001482786,0
4400,100,0,0.001652981,0
4500,100,0,0.001578894,0
4600,100,0,0.001546125,0
4700,114,0,0.00161016,0
4800,124,0,0.001775431,0
4900,124,0,0.001813085,0
5000,130,0,0.002028017,0
5100,132,0,0.002027509,0
5200,132,0,0.002078799,0
5300,175,0,0.002212688,0
5400,177,0,0.002396582,0
5500,179,0,0.002396243,0
5600,181,0,0.002424161,0
5700,207,0,0.002441021,0
5800,214,0,0.00244387,0
5900,298,0,0.002498011,0
6000,308,0,0.002590721,0
6100,312,0,0.002872006,0
6200,349,0,0.002896227,0
6300,458,0,0.002923642,0
6400,694,0,0.002981039,0
6500,720,0,0.003073648,0
6600,783,0,0.003083214,0
6700,796,0,0.003053023,0
6800,808,0,0.003050173,0
6900,819,0,0.003049465,0
