MESSAGES=66626, DATE=2018-03-22 11:14, STEPSIZE=100
Number of edges,Largest component size,LCS Standard Deviation, Average Clustering Coefficient, ACC standard deviation
100,4.0,0.0,0.0,0.0
200,5.0,0.21794494717703236,0.0,0.0
300,5.0,0.9695359714832683,0.0,0.0
400,6.0,0.909670269933009,0.0,0.0
500,7.0,1.3638181696985854,0.0,0.0
600,7.0,1.8834808201837399,0.0,0.0
700,9.0,1.8973665961010262,0.0,0.0
800,20.0,2.5194245374688293,0.0,0.0
900,20.0,2.836811590500859,0.0,0.0
1000,21.0,3.5972211497209896,0.0,0.0
1100,23.0,3.667424164178448,0.0,0.0
1200,29.0,4.230839160261233,0.0,0.0
1300,29.0,4.414748010928831,0.0,0.0
1400,35.0,4.170131892398607,5.9025148784081936e-05,0.0
1500,39.0,12.811713390487633,0.0001579092342470697,0.0
1600,39.0,13.542894816101922,0.0003164290734815611,0.0
1700,39.0,14.004999107461604,0.0004090374965738275,0.0
1800,40.0,14.392706486272834,0.0005372645439323503,0.0
1900,40.0,17.45307995741725,0.0005087696445193452,0.0
2000,40.0,17.323105957073636,0.0005087696445193452,0.0
2100,40.0,18.166659021405124,0.0005087696445193452,0.0
2200,40.0,19.344508264621254,0.0005087696445193452,0.0
2300,41.0,21.08221999695478,0.000501645919666094,0.0
2400,41.0,23.44840079834869,0.000501645919666094,0.0
2500,42.0,25.283344319927306,0.0004973716847541433,0.0
2600,42.0,28.90376273082795,0.0005971038326996609,0.0
2700,42.0,30.333603478650545,0.000696835980645179,3.1419797488732473e-06
2800,42.0,32.29903249324968,0.0007566752694124893,3.1419797488732473e-06
2900,83.0,45.04605976109341,0.0008735043570058106,3.1419797488732473e-06
3000,84.0,50.33535040108493,0.0008729955195162923,3.1419797488732473e-06
3100,85.0,53.96424742364151,0.0008658717946630411,2.5209478141350195e-06
3200,88.0,62.039725176696244,0.0008658717946630411,2.5209478141350195e-06
3300,89.0,70.81897697651385,0.0008658717946630411,2.5209478141350195e-06
3400,92.0,73.74311832300015,0.0008302531703967846,2.5209478141350195e-06
3500,94.0,76.18167430557035,0.0008274036804554843,2.5209478141350195e-06
3600,94.0,100.98940538492144,0.0008274036804554843,2.5209478141350195e-06
3700,95.0,117.41141341453985,0.0009627544526672579,2.5209478141350195e-06
3800,96.0,149.24117226824504,0.0010097710366987166,2.5209478141350195e-06
3900,98.0,156.60271389730138,0.0011394228290278893,2.5209478141350195e-06
4000,98.0,177.32441315284248,0.0012605261515331613,2.5209478141350195e-06
4100,99.0,189.97980813760185,0.0013260644201830733,2.5209478141350195e-06
4200,99.0,192.98043942327422,0.0013545593195960774,2.5209478141350195e-06
4300,99.0,234.04197807231057,0.0014827863669546017,2.210431846765906e-06
4400,100.0,258.443301325455,0.0016529807647947502,2.210431846765906e-06
4500,100.0,272.8672708479346,0.0015788940263209365,2.210431846765906e-06
4600,100.0,253.9491041527809,0.0015461248919959808,2.210431846765906e-06
4700,114.0,306.52541085528236,0.001610160132984547,6.795192803938811e-06
4800,124.0,264.30917502046697,0.001775430549579976,6.795192803938811e-06
4900,124.0,293.4980408793219,0.0018130845238043046,6.795192803938811e-06
5000,130.0,274.4782505044791,0.002028017479376687,6.795192803938811e-06
5100,132.0,157.98749159348134,0.0020275086418871683,6.795192803938811e-06
5200,132.0,145.7039035166867,0.002078799460830577,6.795192803938811e-06
5300,175.0,147.9514362890725,0.0022126884817088273,6.725312806599082e-06
5400,177.0,144.52525730819445,0.0023965823504206152,6.725312806599082e-06
5500,179.0,121.31070645247941,0.002396243125427603,6.725312806599082e-06
5600,181.0,114.93749388254648,0.0024241613423524877,6.725312806599082e-06
5700,207.0,111.89873770512604,0.002441020824505182,6.725312806599082e-06
5800,214.0,120.9255556117039,0.002443870314446483,6.725312806599082e-06
5900,298.0,108.54486399641308,0.0024980106233311932,6.725312806599082e-06
6000,308.0,104.63482928738742,0.002590720813921364,6.725312806599082e-06
6100,312.0,99.28464130971858,0.0028720061781268846,6.725312806599082e-06
6200,349.0,95.7762366143104,0.0028962268426279392,6.678152131510711e-06
6300,458.0,96.41279738706041,0.002923642389790452,6.628867533835296e-06
6400,694.0,108.85384696922819,0.002981039258608076,6.601377427161368e-06
6500,720.0,103.2872208939712,0.0030736476817003417,6.601377427161368e-06
6600,783.0,97.26849438537788,0.0030832138265032786,6.601377427161368e-06
6700,796.0,83.007755661743,0.0030530228021252155,1.1585857058512529e-05
6800,808.0,92.72022433105394,0.0030501733121839143,1.1585857058512529e-05
6900,819.0,88.36655192999876,0.0030494652096635373,1.1585857058512529e-05
7000,840.0,87.48341271350822,0.0030994330511341993,1.1585857058512529e-05
7100,847.0,88.20333043598032,0.0030923093262809477,1.4858015529707583e-05
7200,850.0,92.9257095749072,0.0030923093262809477,1.4858015529707583e-05
7300,875.0,89.63229049846734,0.003082336111486395,1.4858015529707583e-05
7400,882.0,88.1446963804445,0.003203753715970487,1.4858015529707583e-05
7500,1122.0,81.15372757917307,0.0032196115391848385,1.4858015529707583e-05
7600,1164.0,70.26272126811976,0.0032194213558363527,1.4858015529707583e-05
7700,1173.0,74.97059423536388,0.0032835348795156156,1.4858015529707583e-05
7800,1185.0,79.86638842469542,0.0033189243489963804,1.4858015529707583e-05
7900,1195.0,85.54975160687442,0.003339181299925242,1.4858015529707583e-05
8000,1219.0,86.32686430077442,0.0034703596047229676,1.4855628375407939e-05
8100,1254.0,85.64928487734585,0.003678296222729684,1.4855628375407939e-05
8200,1282.0,78.86398100529529,0.0037707751235518936,1.4855628375407939e-05
8300,1348.0,72.6263726203927,0.003834888647231153,1.4855628375407939e-05
8400,1421.0,76.77200010421339,0.004025704840782856,1.4855628375407939e-05
8500,1449.0,71.07803809896915,0.004131644806100494,1.4855628375407939e-05
8600,1498.0,72.78342874584905,0.004127370571188542,1.4855628375407939e-05
8700,1518.0,72.01590102189502,0.004134852156780513,1.4855628375407939e-05
8800,1556.0,72.9569050878729,0.004104535997238617,1.4854176087089736e-05
8900,1577.0,82.57328563161423,0.004075830421251004,1.4910507440924263e-05
9000,1636.0,80.93878859977156,0.004326585536085448,1.4910030533217484e-05
9100,1667.0,81.36147737103607,0.004353949250617909,1.4897264342813089e-05
9200,1695.0,77.39121397160345,0.00434295836084432,1.4897264342813089e-05
9300,1735.0,79.00031645504352,0.0044352092929824125,1.4897264342813089e-05
9400,1755.0,77.17932041681175,0.004463704192395418,2.1357398272066655e-05
9500,1778.0,78.06822336905647,0.0044480319977182655,2.1357398272066655e-05
9600,1802.0,78.42123436932147,0.004547764145663782,2.1357398272066655e-05
9700,1813.0,73.05030800753974,0.004580533279988739,2.1357398272066655e-05
9800,1823.0,74.63939978316851,0.004737611413002928,2.1417537500853473e-05
