MESSAGES=66626, DATE=2018-04-20 05:20, STEPSIZE=random, ORDER=50, ITERATIONS=20
Number of edges,Largest component size,LCS Standard Deviation, Average Clustering Coefficient, ACC standard deviation
50,2.0,0.0,0.0,0.0
100,2.05,0.21794494717703441,0.0,0.0
150,2.2,0.6782329983125261,0.0,0.0
200,2.3,0.7141428428542854,0.0,0.0
250,2.3,0.7141428428542854,0.0,0.0
300,2.3,0.7141428428542854,0.0,0.0
350,2.3,0.7141428428542854,0.0,0.0
400,2.35,0.7262919523166967,0.0,0.0
450,2.4,0.7348469228349535,0.0,0.0
500,2.4,0.7348469228349535,0.0,0.0
550,2.4,0.7348469228349535,0.0,0.0
600,2.45,0.9205976319760976,0.0,0.0
650,2.5,0.9219544457292885,0.0,0.0
700,2.55,0.9205976319760986,0.0,0.0
750,2.55,0.9205976319760986,0.0,0.0
800,2.65,1.107925990308017,0.0,0.0
850,2.7,1.144552314225959,0.0,0.0
900,2.8,1.1224972160321827,0.0,0.0
950,2.9,1.1357816691600544,0.0,0.0
1000,3.05,1.203120941551597,0.0,0.0
1050,3.05,1.203120941551597,0.0,0.0
1100,3.1,1.178982612255159,6.411352367926141e-06,2.794643706322025e-05
1150,3.15,1.1521718621802914,1.2822704735852283e-05,3.846811420755684e-05
1200,3.25,1.5124483462254172,1.2822704735852283e-05,3.846811420755684e-05
1250,3.25,1.5124483462254172,1.2822704735852283e-05,3.846811420755684e-05
1300,3.35,1.681517172080024,1.2822704735852283e-05,3.846811420755684e-05
1350,3.45,1.6575584454250771,1.2822704735852283e-05,3.846811420755684e-05
1400,3.55,1.6874537030686205,1.2822704735852283e-05,3.846811420755684e-05
1450,3.6,1.7146428199482244,1.2822704735852283e-05,3.846811420755684e-05
1500,3.65,1.7684739183827392,1.2822704735852283e-05,3.846811420755684e-05
1550,3.8,2.181742422927143,1.780931213312817e-05,5.570643518699022e-05
1600,3.85,2.151162476429895,1.780931213312817e-05,5.570643518699022e-05
1650,3.95,2.3124662159694354,2.2795919530404058e-05,7.530959871432444e-05
1700,4.05,2.43874967965144,2.2795919530404058e-05,7.530959871432444e-05
1750,4.5,4.043513323831146,2.1371174559753804e-05,6.957950331723245e-05
1800,4.55,4.08013480169467,2.1371174559753804e-05,6.957950331723245e-05
1850,4.55,4.08013480169467,2.101498831709124e-05,6.816012550209767e-05
1900,4.65,4.065402809070707,2.101498831709124e-05,6.816012550209767e-05
1950,4.7,4.112177038990417,2.101498831709124e-05,6.816012550209767e-05
2000,4.8,4.069397989875161,2.101498831709124e-05,6.816012550209767e-05
2050,4.85,4.269367634673782,2.101498831709124e-05,6.816012550209767e-05
2100,4.85,4.269367634673782,2.101498831709124e-05,6.816012550209767e-05
2150,5.1,5.290557626564519,1.9590243346440987e-05,6.254593909929779e-05
2200,5.2,5.528109984434101,2.457685074371687e-05,8.256993288148188e-05
2250,6.1,9.098901032542337,2.457685074371687e-05,8.256993288148188e-05
2300,6.1,9.098901032542337,2.457685074371687e-05,8.256993288148188e-05
2350,6.15,9.312760063482791,2.315210577306662e-05,7.675379647562347e-05
2400,6.2,9.298386956886663,2.8138713170342504e-05,7.831157745159536e-05
2450,6.2,9.298386956886663,3.4550065538268646e-05,0.00010414473993559259
2500,6.95,12.52387719518201,3.4550065538268646e-05,0.00010414473993559259
2550,7.05,12.547808573611569,3.9536672935544537e-05,0.00011069257577004745
2600,7.1,12.762836675285005,3.9536672935544537e-05,0.00011069257577004745
2650,7.2,13.193180056377614,3.9536672935544537e-05,0.00011069257577004745
2700,7.35,13.609831005563588,3.9536672935544537e-05,0.00011069257577004745
2750,7.6,14.461673485458036,3.9536672935544537e-05,0.00011069257577004745
2800,7.7,14.467549896233294,3.9536672935544537e-05,0.00011069257577004745
2850,7.75,14.473683014354018,3.9536672935544537e-05,0.00011069257577004745
2900,7.9,14.665946952038249,4.2386162876845045e-05,0.00012174016425699483
2950,8.05,15.11117136425896,4.2386162876845045e-05,0.00012174016425699483
3000,8.15,15.090642796117068,4.0605231663532224e-05,0.00011982054379815757
3050,8.3,15.505160431288674,3.9180486692881974e-05,0.00011423531964794857
3100,8.6,16.797023545854785,4.5591839060808115e-05,0.00011544830785822589
3150,9.05,16.927713962611726,4.879751524477118e-05,0.00012781628054426715
3200,9.05,16.927713962611726,4.737277027412093e-05,0.00012227671908112737
3250,9.5,17.636609651517492,5.684732432894512e-05,0.00016004262421112465
