EDGES=66626, ITERATIONS=5,DATE=2018-03-12 14:45Number of edges,,
,Largest component size,LCS uncertainty,Average Clustering Coefficient,ACC uncertainty
0,2,0,0,0
1000,4.8,0.748331477,0,0
2000,6.6,1.019803903,0,0
3000,8.8,0.979795897,0,0
4000,11.6,1.624807681,0,0
5000,15.8,2.856571371,0,0
6000,21.6,3.072458299,0,0
7000,29,3.633180425,0,0
8000,41.4,6.248199741,0,0
9000,68.8,3.762977544,0,0
10000,135.6,34.30218652,0,0
11000,243.2,91.99434765,0,0
12000,852.6,489.5874181,0,0
13000,4250.4,471.8379383,0,0
14000,7175,292.5419628,0,0
15000,9482.2,239.9978333,0,0
16000,11466.2,161.8485712,6.55E-06,1.31E-05
17000,12963.8,120.123936,9.97E-06,1.32E-05
18000,14258,98.74613917,1.46E-05,1.91E-05
19000,15321,74.51711213,1.28E-05,1.65E-05
20000,16272.8,66.85327217,3.61E-05,4.44E-05
21000,17081.8,80.9083432,3.57E-05,4.39E-05
22000,17817.8,91.72436972,3.97E-05,5.45E-05
23000,18434.6,78.83298802,5.61E-05,5.37E-05
24000,18979,64.92765204,6.79E-05,4.75E-05
25000,19454.4,58.38013361,6.64E-05,4.77E-05
26000,19866.6,40.80490167,6.18E-05,4.51E-05
27000,20237.6,31.56326979,5.96E-05,4.49E-05
28000,20557.4,37.52652395,6.32E-05,4.30E-05
29000,20834.6,40.43068142,7.40E-05,5.31E-05
30000,21090.6,19.37627415,7.39E-05,5.29E-05
31000,21311.4,34.09750724,7.12E-05,5.24E-05
32000,21517.8,13.19696935,7.57E-05,5.72E-05
33000,21701.2,15.52288633,7.64E-05,5.83E-05
34000,21865.6,12.54750972,8.67E-05,7.10E-05
35000,22005.8,14.4692778,9.04E-05,6.94E-05
36000,22129.4,14.54097658,8.80E-05,6.22E-05
37000,22252,7.823042885,8.99E-05,6.45E-05
38000,22355.6,8.593020426,0.000110872,6.59E-05
39000,22447.2,3.187475485,0.000117609,7.39E-05
40000,22537.2,9.867117105,0.000118694,7.67E-05
41000,22616.2,20.78845834,0.000135214,8.53E-05
42000,22689.8,18.1262241,0.000157143,9.18E-05
43000,22752.4,15.0146595,0.000150606,8.43E-05
44000,22805.4,18.23842098,0.000157078,8.16E-05
45000,22857.4,20.88635918,0.000184588,6.56E-05
46000,22907.6,20.606795,0.000190038,6.29E-05
47000,22953,19.2145778,0.000185531,5.96E-05
48000,22993.6,21.45320489,0.000187369,5.90E-05
49000,23024.8,17.02233827,0.000200585,6.29E-05
50000,23058.8,12.57616794,0.000206948,5.97E-05
51000,23085.6,6.183849939,0.000207233,5.64E-05
52000,23115,7.483314774,0.000207231,5.64E-05
53000,23138.6,10.13114012,0.000205889,4.73E-05
54000,23163,9.486832981,0.000203587,5.10E-05
55000,23179.4,8.708616425,0.000199705,5.12E-05
56000,23198.4,6.183849925,0.000205213,6.35E-05
57000,23213.2,6.852736682,0.000224392,8.03E-05
58000,23229.6,6.019966778,0.000220051,7.84E-05
59000,23242.8,6.764613818,0.000219447,6.74E-05
60000,23256.8,6.615134163,0.00022616,6.70E-05
61000,23269,7.924645099,0.000226872,6.22E-05
62000,23278.4,6.499230715,0.000224695,5.31E-05
63000,23288.6,6.406246958,0.000233,4.43E-05
64000,23298,6.292853091,0.000244329,4.98E-05
65000,23306.2,7.30479294,0.000250506,4.38E-05
66000,23314.2,7.934733772,0.000250036,4.15E-05
66000,23312.6,7.88923317,0.000251133,4.02E-05
65000,23306.8,7.678541531,0.000250126,4.67E-05
64000,23298.6,8.616263699,0.000247842,4.62E-05
63000,23291.4,8.639444426,0.000238466,4.30E-05
62000,23283.8,5.418486875,0.000233242,3.82E-05
61000,23275,7.402702206,0.000232278,3.98E-05
60000,23267.4,7.939773287,0.000231422,3.57E-05
59000,23254.8,5.635601121,0.000223876,3.32E-05
58000,23240.4,7.631513604,0.000208923,3.29E-05
57000,23224.2,7.934733772,0.000206718,2.73E-05
56000,23207.6,10.01199281,0.000199253,3.95E-05
55000,23190.4,9.478396484,0.000192699,3.09E-05
