COMBINED,ITERATIONS=15,,
Largest component size,LCS uncertainty,Average Clustering Coefficient,ACC uncertainty
2,0,0,0
4.933333333,0.653197264,0,0
6.466666667,1.006644592,0,0
8.866666667,1.254325848,0,0
11.73333333,1.681269362,0,0
16.26666667,2.663331247,0,0
21.86666667,3.720215047,0,0
28.33333333,3.405877273,0,0
43.73333333,6.926278462,0,0
68.93333333,7.875701027,0,0
134.3333333,35.505117,0,0
300.2,217.6934236,0,0
1136.066667,714.5525593,0,0
4358.733333,453.3154604,0,0
7223.533333,252.9272886,0,0
9563.8,205.2928964,0,0
11453.86667,145.9261,4.36667E-06,1.06961E-05
12957.4,122.6699637,6.64667E-06,1.07778E-05
14248.33333,89.5738057,9.73333E-06,1.55951E-05
15334.53333,70.90331445,8.53333E-06,1.34722E-05
16281.46667,57.04758248,2.40667E-05,3.62524E-05
17089.73333,68.59484917,2.59846E-05,3.66344E-05
17819.4,88.00409082,2.86513E-05,4.5138E-05
18425.6,74.3368908,3.95846E-05,4.44942E-05
18963.8,65.93592849,5.36252E-05,4.40218E-05
19441.4,62.40811913,5.732E-05,4.32775E-05
19862.13333,44.42611845,5.4864E-05,4.24292E-05
20230.46667,42.64051282,5.32074E-05,4.2006E-05
20553.33333,43.73953208,5.48882E-05,4.05511E-05
20834.46667,37.7475827,6.79771E-05,4.85478E-05
21095.06667,21.62467726,6.98101E-05,4.84116E-05
21320.2,30.76491508,7.37566E-05,4.78385E-05
21525.6,14.12421089,7.64717E-05,5.14564E-05
21706.2,15.25865874,8.07919E-05,5.45352E-05
21870.2,16.02414845,8.52569E-05,6.2966E-05
22006.6,17.33282051,9.33999E-05,6.29377E-05
22130.66667,13.31965965,9.44436E-05,5.82323E-05
22251.86667,10.74926354,9.94078E-05,5.75409E-05
22355.66667,8.993330865,0.000114156,5.81687E-05
22450.26667,6.647305216,0.00012104,6.59135E-05
22543,13.48777224,0.000124233,6.66614E-05
22619.93333,18.89056202,0.000134298,7.3128E-05
22693.4,18.26982941,0.000149465,7.96813E-05
22754.86667,16.97684698,0.000143445,7.29627E-05
22809.26667,16.80555463,0.00015275,7.51413E-05
22861.66667,19.59115446,0.000179293,6.77648E-05
22909.2,18.03995566,0.000186802,6.59227E-05
22954.26667,17.23716914,0.000185243,6.53857E-05
22993.66667,19.10183237,0.000192169,6.20404E-05
23027.93333,15.05191018,0.00020126,6.42189E-05
23059.93333,11.64588626,0.000209477,6.36552E-05
23086.26667,8.685620305,0.000207295,6.17537E-05
23113.86667,9.863062406,0.000207922,5.90611E-05
23137,10.2019606,0.00020826,5.16188E-05
23162.2,9.561032024,0.000204534,4.95162E-05
23179.66667,8.218677915,0.000203848,5.03782E-05
23198.46667,6.416645018,0.000204892,5.89233E-05
23214,6.727059789,0.000217275,7.13416E-05
23230.06667,6.337191808,0.00021531,6.95883E-05
23243.13333,7.359347803,0.00021506,6.05891E-05
23256.93333,7.467261881,0.000219707,6.09273E-05
23268.53333,8.395236743,0.000220335,5.67003E-05
23279.2,7.000952312,0.00021853,5.02117E-05
23288.86667,7.255342864,0.000224559,4.3594E-05
23297.53333,7.344839462,0.000232067,4.59182E-05
23305.86667,7.573638485,0.000236383,4.00516E-05
23314.46667,7.675067861,0.000237993,3.94386E-05
23314.6,7.956548667,0.000239132,3.95546E-05
23308.4,7.361159333,0.000239081,4.3923E-05
23300.8,8.299397573,0.000237344,4.26034E-05
23294,8.552582455,0.000228752,3.94522E-05
