EDGES=66626, ITERATIONS=20,DATE=2018-04-15,
Messages,Largest component size,LCS uncertainty,Average Clustering Coefficient,ACC uncertainty
0,2,0,0,0
50,2.15,0.692820323,0,0
100,2.75,0.848528137,0,0
150,3,0,0,0
200,3.15,0.692820323,0,0
250,3.25,0.8,0,0
300,3.4,0.979795897,0,0
350,3.55,0.979795897,0,0
400,3.75,0.8,0,0
450,3.75,0.8,0,0
500,3.95,0.4,0,0
550,4,0.632455532,0,0
600,4.05,0.748331477,0,0
650,4.15,0.692820323,0,0
700,4.15,0.692820323,0,0
750,4.3,0.894427191,0,0
800,4.4,0.938083152,0,0
850,4.4,0.938083152,0,0
900,4.45,1.13137085,0,0
950,4.65,1.469693846,0,0
1000,4.75,1.264911064,0,0
1050,4.8,1.29614814,0,0
1100,4.8,1.29614814,0,0
1150,4.95,1.264911064,0,0
1200,5.25,1.549193338,0,0
1250,5.3,1.523154621,0,0
1300,5.55,1.29614814,0,0
1350,5.65,1.232882801,0,0
1400,5.65,1.232882801,0,0
1450,5.75,1.2,0,0
1500,5.8,1.29614814,0,0
1550,5.95,1.264911064,0,0
1600,5.95,1.264911064,0,0
1650,6.1,1.469693846,0,0
1700,6.15,1.469693846,0,0
1750,6.3,1.326649916,0,0
1800,6.35,1.232882801,0,0
1850,6.55,1.720465053,0,0
1900,6.8,2.349468025,0,0
1950,6.8,2.349468025,0,0
2000,6.85,2.315167381,0,0
2050,7,2.097617696,0,0
2100,7.15,1.979898987,0,0
2150,7.4,2.4,0,0
2200,7.45,2.366431913,0,0
2250,7.45,2.366431913,0,0
2300,7.85,2.366431913,0,0
2350,7.85,2.366431913,0,0
2400,7.95,2.209072203,0,0
2450,8,2.059126028,0,0
2500,8.1,2.078460969,0,0
2550,8.2,2.366431913,0,0
2600,8.25,2.315167381,0,0
2650,8.45,2.545584412,0,0
2700,8.45,2.545584412,0,0
2750,8.55,2.668332813,0,0
2800,8.65,2.653299832,0,0
2850,8.85,2.529822128,0,0
2900,8.95,2.653299832,0,0
2950,9,2.638181192,0,0
3000,9.05,2.814249456,0,0
3050,9.15,2.828427125,0,0
3100,9.15,2.828427125,0,0
3150,9.5,2.74226184,0,0
3200,9.65,2.592296279,0,0
3250,9.65,2.592296279,0,0
3300,9.75,2.828427125,0,0
3350,9.8,2.771281292,0,0
3400,10,2.712931993,0,0
3450,10.3,3.42928564,0,0
3500,10.6,3.698648402,0,0
3550,10.8,3.959797975,0,0
3600,11.05,4.363484846,0,0
3650,11.2,4.436214603,0,0
3700,11.25,4.516635916,0,0
3750,11.5,5.215361924,0,0
3800,11.7,5.043808085,0,0
3850,11.75,5.138093031,0,0
3900,11.85,5.106858134,0,0
3950,12.05,5.192301994,0,0
4000,12.35,5.506359959,0,0
4050,12.55,5.592852582,0,0
4100,13,5.706137047,0,0
4150,13.35,5.528109984,0,0
4200,13.55,5.462600113,0,0
4250,14,5.844655678,0,0
4300,14.2,5.418486874,0,0
4350,14.35,5.440588203,0,0
4400,14.5,5.291502622,0,0
4450,14.65,5.138093031,0,0
4500,14.85,5.469917732,0,0
4550,14.95,5.642694392,0,0
4600,15,5.642694392,0,0
4650,15.35,5.176871642,4.63042E-06,1.85217E-05
4700,15.4,5.268775949,4.63042E-06,1.85217E-05
4750,16.15,6.717142249,4.63042E-06,1.85217E-05
4800,16.55,6.32455532,4.63042E-06,1.85217E-05
4850,16.95,7.578918129,4.63042E-06,1.85217E-05
4900,17.15,6.951258879,4.63042E-06,1.85217E-05
4950,17.35,7.573638492,4.63042E-06,1.85217E-05
5000,17.9,7.735631842,4.63042E-06,1.85217E-05
5050,17.9,7.735631842,4.63042E-06,1.85217E-05
5100,18.2,7.979974937,4.63042E-06,1.85217E-05
5150,18.85,7.58419409,4.63042E-06,1.85217E-05
5200,19,7.6,4.63042E-06,1.85217E-05
5250,19.6,8.717797887,4.63042E-06,1.85217E-05
5300,19.8,8.854377448,4.63042E-06,1.85217E-05
5350,20,8.639444427,4.63042E-06,1.85217E-05
5400,20.1,8.768124087,4.63042E-06,1.85217E-05
5450,20.25,8.419026072,4.63042E-06,1.85217E-05
5500,20.55,8.168231143,4.63042E-06,1.85217E-05
